id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,199,197,8,240.01994283333335,M.USER.APP.8,220,2752111,0
2,LINK,197,173,9,224.02507085333335,M.USER.APP.9,372,1880314,1
3,LINK,199,197,8,240.01994283333335,M.USER.APP.8,381,2752111,2
4,LINK,199,197,8,240.01994283333335,M.USER.APP.8,436,2752111,3
1,LINK,197,173,8,224.03669481333333,M.USER.APP.8,460.01994283333335,2752111,3
5,LINK,199,197,8,240.01994283333335,M.USER.APP.8,490,2752111,4
6,LINK,196,185,3,192.01234511659192,M.USER.APP.3,506,2752961,5
7,LINK,197,173,9,224.02507085333335,M.USER.APP.9,530,1880314,6
8,LINK,169,112,4,316.0296725466667,M.USER.APP.4,587,4450882,7
9,LINK,199,197,8,240.01994283333335,M.USER.APP.8,604,2752111,7
10,LINK,199,197,8,240.01994283333335,M.USER.APP.8,615,2752111,8
2,LINK,173,110,9,45.02896147169811,9_(55-56),661.4731762899066,1534958,9
2,LINK,173,110,9,45.032928773584906,9_(55-58),661.4731762899066,1745225,10
2,LINK,173,110,9,45.08399049056604,9_(55-59),661.4731762899066,4451496,11
2,LINK,173,110,9,45.053795283018864,9_(55-61),661.4731762899066,2851150,12
11,LINK,196,185,1,192.01354457399103,M.USER.APP.1,674,3020440,13
3,LINK,197,173,8,224.03669481333333,M.USER.APP.8,700.0398856666667,2752111,12
2,LINK,110,137,9,66.0053112733564,9_(55-56),706.5021377616048,1534958,12
2,LINK,110,101,9,152.0083105952381,9_(55-58),751.5350665351897,1745225,12
12,LINK,169,192,0,344.03004583453236,M.USER.APP.0,757,4176371,13
13,LINK,194,190,3,80.013764805,M.USER.APP.3,777,2752961,13
14,LINK,196,185,3,192.01234511659192,M.USER.APP.3,796,2752961,14
2,LINK,110,141,9,231.05857231578946,9_(55-59),796.6190570257558,4451496,14
15,LINK,169,112,4,316.0296725466667,M.USER.APP.4,800,4450882,15
2,LINK,137,110,9,66.00947182352941,9_(56-57),803.592329671566,2737357,16
6,LINK,185,106,3,246.00612587769785,3_(22-25),809.3573451165919,1702994,17
6,LINK,185,112,3,231.0243024047619,3_(22-23),809.3573451165919,3062103,18
1,LINK,173,110,8,45.05192662264151,M.USER.APP.8,820.0617656666666,2752111,18
16,LINK,197,173,9,224.02507085333335,M.USER.APP.9,822,1880314,19
17,LINK,169,192,0,344.03004583453236,M.USER.APP.0,834,4176371,20
2,LINK,110,112,9,82.00595229645094,9_(55-61),841.6728523087746,2851150,20
13,LINK,190,109,3,231.0152942277778,M.USER.APP.3,857.0137648049999,2752961,20
2,LINK,110,0,9,114.04487470491803,9_(56-57),869.6018014950954,2737357,20
18,LINK,196,185,1,192.01354457399103,M.USER.APP.1,877,3020440,21
11,LINK,185,106,1,246.01086489208632,M.USER.APP.1,890.0258896905829,3020440,20
19,LINK,196,185,1,192.01354457399103,M.USER.APP.1,920,3020440,19
2,LINK,112,151,9,30.02822920792079,9_(55-61),923.6788046052255,2851150,19
4,LINK,197,173,8,224.03669481333333,M.USER.APP.8,940.0598285000001,2752111,19
1,LINK,110,160,8,72.02220947179487,8_(52-53),946.2135176701549,4330847,20
8,LINK,112,100,4,32.004729313513515,4_(27-28),969.5240405066166,1749846,20
8,LINK,112,118,4,111.03911422580646,4_(27-29),969.5240405066166,2425082,21
2,LINK,0,103,9,58.009672639575975,9_(56-57),983.6466762000134,2737357,21
20,LINK,197,173,9,224.02507085333335,M.USER.APP.9,987,1880314,22
21,LINK,187,94,5,92.03966824752476,M.USER.APP.5,1002,4006493,22
22,LINK,169,192,0,344.03004583453236,M.USER.APP.0,1011,4176371,23
6,LINK,112,105,3,102.00843554545455,3_(22-23),1040.381647521354,3062103,21
23,LINK,197,173,9,224.02507085333335,M.USER.APP.9,1045,1880314,20
6,LINK,106,191,3,90.0095139329609,3_(22-25),1055.3634709942899,1702994,20
24,LINK,169,112,4,316.0296725466667,M.USER.APP.4,1058,4450882,21
8,LINK,100,186,4,162.02186138190956,4_(28-30),1076.8759508290323,4350415,22
25,LINK,195,175,2,156.02382929090908,M.USER.APP.2,1081,2621222,22
2,LINK,141,110,9,231.03538006578947,9_(59-60),1089.0239042628464,2688885,21
21,LINK,94,123,5,129.01907853809524,M.USER.APP.5,1094.0396682475248,4006493,21
26,LINK,196,185,3,192.01234511659192,M.USER.APP.3,1107,2752961,21
7,LINK,173,110,9,45.02896147169811,9_(55-56),1109.5349419565732,1534958,22
7,LINK,173,110,9,45.032928773584906,9_(55-58),1109.5349419565732,1745225,23
